Entity,Year,CO2 concentration - Region: global,CO2 concentration - Region: global (Annotations)
SSP5 - 2.6,2080,463.0492,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,445.67514,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,427.61694,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,379.85,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,390.5053,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,414.8492,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,442.3492,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,471.40906,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,496.69913,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,514.7885,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,522.97327,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,520.26526,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,508.34985,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,491.47595,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,379.85,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,390.5053,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,414.84576,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,442.56186,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,473.0421,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,502.38788,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,527.4181,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,546.07446,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,559.1474,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,567.6406,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,573.7102,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,379.85,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,390.5053,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,414.85416,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,443.9563,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,479.79913,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,520.1116,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,562.37115,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,603.3297,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,640.68463,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,673.43726,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,702.3926,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,379.85,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,390.5053,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,417.24872,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,452.76678,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,499.67825,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,559.69196,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,635.79254,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,730.0255,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,841.52014,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,963.84155,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,1088.9702,Fossil-fueled Development - Taking the Highway
