Entity,Year,Temperature - Region: global,Temperature - Region: global (Annotations)
SSP3 - 4.5,2080,2.4658277,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,2.5540428,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,2.6174028,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,0.9133863,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,0.98830736,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,1.2307929,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,1.5241798,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,1.844651,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,2.099352,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,2.3332732,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,2.5809205,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,2.8066485,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,3.0052812,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,3.1835914,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,0.9133863,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,0.98805493,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,1.2257526,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,1.5238091,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,1.8641922,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,2.2025094,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,2.5509324,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,2.9115188,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,3.2843482,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,3.6724231,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,4.0710998,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,0.98868006,Inequality - A Road Divided
SSP4 - 2.6,2020,1.2326844,Inequality - A Road Divided
SSP4 - 2.6,2030,1.507354,Inequality - A Road Divided
SSP4 - 2.6,2040,1.6867304,Inequality - A Road Divided
SSP4 - 2.6,2050,1.7943009,Inequality - A Road Divided
SSP4 - 2.6,2060,1.8650451,Inequality - A Road Divided
SSP4 - 2.6,2070,1.9096378,Inequality - A Road Divided
SSP4 - 2.6,2080,1.9284775,Inequality - A Road Divided
SSP4 - 2.6,2090,1.8927146,Inequality - A Road Divided
SSP4 - 2.6,2100,1.7993968,Inequality - A Road Divided
SSP4 - 3.4,2010,0.98868006,Inequality - A Road Divided
SSP4 - 3.4,2020,1.2315853,Inequality - A Road Divided
SSP4 - 3.4,2030,1.4839019,Inequality - A Road Divided
SSP4 - 3.4,2040,1.7127025,Inequality - A Road Divided
SSP4 - 3.4,2050,1.895201,Inequality - A Road Divided
SSP4 - 3.4,2060,2.0198212,Inequality - A Road Divided
SSP4 - 3.4,2070,2.1101048,Inequality - A Road Divided
SSP4 - 3.4,2080,2.17456,Inequality - A Road Divided
SSP4 - 3.4,2090,2.2067423,Inequality - A Road Divided
SSP4 - 3.4,2100,2.1860478,Inequality - A Road Divided
SSP4 - 4.5,2010,0.98868006,Inequality - A Road Divided
SSP4 - 4.5,2020,1.231278,Inequality - A Road Divided
SSP4 - 4.5,2030,1.4808639,Inequality - A Road Divided
SSP4 - 4.5,2040,1.7222193,Inequality - A Road Divided
SSP4 - 4.5,2050,1.9412544,Inequality - A Road Divided
SSP4 - 4.5,2060,2.1174078,Inequality - A Road Divided
SSP4 - 4.5,2070,2.250108,Inequality - A Road Divided
SSP4 - 4.5,2080,2.3652296,Inequality - A Road Divided
SSP4 - 4.5,2090,2.450691,Inequality - A Road Divided
SSP4 - 4.5,2100,2.516387,Inequality - A Road Divided
SSP4 - 6.0,2010,0.98868006,Inequality - A Road Divided
SSP4 - 6.0,2020,1.231,Inequality - A Road Divided
SSP4 - 6.0,2030,1.490755,Inequality - A Road Divided
SSP4 - 6.0,2040,1.7773426,Inequality - A Road Divided
SSP4 - 6.0,2050,2.0538106,Inequality - A Road Divided
SSP4 - 6.0,2060,2.3115525,Inequality - A Road Divided
SSP4 - 6.0,2070,2.5602906,Inequality - A Road Divided
SSP4 - 6.0,2080,2.8022068,Inequality - A Road Divided
SSP4 - 6.0,2090,3.004306,Inequality - A Road Divided
SSP4 - 6.0,2100,3.1565244,Inequality - A Road Divided
SSP4 - Baseline,2005,0.9133863,Inequality - A Road Divided
SSP4 - Baseline,2010,0.9885621,Inequality - A Road Divided
SSP4 - Baseline,2020,1.2372127,Inequality - A Road Divided
SSP4 - Baseline,2030,1.5328748,Inequality - A Road Divided
SSP4 - Baseline,2040,1.8738929,Inequality - A Road Divided
SSP4 - Baseline,2050,2.2163062,Inequality - A Road Divided
SSP4 - Baseline,2060,2.5461507,Inequality - A Road Divided
SSP4 - Baseline,2070,2.8745098,Inequality - A Road Divided
SSP4 - Baseline,2080,3.2009945,Inequality - A Road Divided
SSP4 - Baseline,2090,3.4942133,Inequality - A Road Divided
SSP4 - Baseline,2100,3.7582884,Inequality - A Road Divided
SSP5 - 1.9,2005,0.9133863,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,0.9892868,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,1.2594864,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,1.5368919,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,1.7296448,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,1.8097243,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,1.777239,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,1.6891108,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,1.589518,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,1.4874021,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,1.3744472,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,0.9133863,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,0.9892915,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,1.259341,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,1.547275,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,1.7950007,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,1.9670202,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,2.0489242,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,2.058,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,2.0171366,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,1.9336094,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,1.8231527,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,0.9133863,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,0.9892922,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,1.2594494,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,1.5541351,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,1.8386769,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,2.0578537,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,2.2014632,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,2.2986362,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,2.341335,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,2.3228135,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,2.2520359,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,0.9133863,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,0.989292,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,1.259498,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,1.5551314,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,1.8566488,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,2.1087217,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,2.2916944,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,2.4380383,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,2.5563993,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,2.637877,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,2.6833487,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,0.9133863,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,0.9892918,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,1.259277,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,1.5548981,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,1.8857999,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,2.2166872,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,2.513596,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,2.7812476,Fossil-fueled Development - Taking the Highway
