Entity,Year,Economic consumption per capita - Region: global,Economic consumption per capita - Region: global (Annotations)
SSP5 - 2.6,2030,8741.0625,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,12574.019,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,17174.506,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,22601.727,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,27671.516,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,36136.406,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,45118.246,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,56029.77,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,4562.644,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,4779.5186,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,6238.0117,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,8755.364,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,12683.087,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,17478.645,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,23078.953,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,28227.318,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,36794.54,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,45999.266,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,57033.44,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,4562.644,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,4779.5186,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,6238.0117,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,8761.629,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,12719.239,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,17596.93,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,23348.068,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,28665.14,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,37538.67,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,47148.375,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,58687.56,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,4562.644,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,4779.5186,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,6238.0117,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,8770.579,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,12792.262,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,17774.084,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,23643.047,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,29048.209,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,37993.957,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,47585.07,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,59163.59,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,4562.644,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,4779.5186,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,6236.7583,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,8765.831,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,12816.852,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,17869.215,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,23856.096,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,29372.117,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,38463.414,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,48129.23,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,59647.457,Fossil-fueled Development - Taking the Highway
