Entity,Year,Population - Region: global,Population - Region: global (Annotations)
SSP3 - 3.4,2060,10574361900,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,11117376500,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,11633415300,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,12134327000,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,12620135500,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,6490987900,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,6879589600,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,7697853900,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,8514307300,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,9257220200,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,9957130800,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,10574361900,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,11117376500,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,11633415300,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,12134327000,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,12620135500,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,6490987900,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,6879589600,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,7697853900,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,8514307300,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,9257220200,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,9957130800,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,10574361900,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,11117376500,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,11633415300,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,12134327000,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,12620135500,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,6490987900,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,6879589600,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,7697853900,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,8514307300,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,9257220200,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,9957130800,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,10574361900,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,11117376500,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,11633415300,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,12134327000,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,12620135500,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,6895882000,Inequality - A Road Divided
SSP4 - 2.6,2020,7626353000,Inequality - A Road Divided
SSP4 - 2.6,2030,8258565000,Inequality - A Road Divided
SSP4 - 2.6,2040,8765680000,Inequality - A Road Divided
SSP4 - 2.6,2050,9146527000,Inequality - A Road Divided
SSP4 - 2.6,2060,9377450000,Inequality - A Road Divided
SSP4 - 2.6,2070,9472529000,Inequality - A Road Divided
SSP4 - 2.6,2080,9471440000,Inequality - A Road Divided
SSP4 - 2.6,2090,9401586000,Inequality - A Road Divided
SSP4 - 2.6,2100,9292446000,Inequality - A Road Divided
SSP4 - 3.4,2010,6895882000,Inequality - A Road Divided
SSP4 - 3.4,2020,7626353000,Inequality - A Road Divided
SSP4 - 3.4,2030,8258565000,Inequality - A Road Divided
SSP4 - 3.4,2040,8765680000,Inequality - A Road Divided
SSP4 - 3.4,2050,9146527000,Inequality - A Road Divided
SSP4 - 3.4,2060,9377450000,Inequality - A Road Divided
SSP4 - 3.4,2070,9472529000,Inequality - A Road Divided
SSP4 - 3.4,2080,9471440000,Inequality - A Road Divided
SSP4 - 3.4,2090,9401586000,Inequality - A Road Divided
SSP4 - 3.4,2100,9292446000,Inequality - A Road Divided
SSP4 - 4.5,2010,6895882000,Inequality - A Road Divided
SSP4 - 4.5,2020,7626353000,Inequality - A Road Divided
SSP4 - 4.5,2030,8258565000,Inequality - A Road Divided
SSP4 - 4.5,2040,8765680000,Inequality - A Road Divided
SSP4 - 4.5,2050,9146527000,Inequality - A Road Divided
SSP4 - 4.5,2060,9377450000,Inequality - A Road Divided
SSP4 - 4.5,2070,9472529000,Inequality - A Road Divided
SSP4 - 4.5,2080,9471440000,Inequality - A Road Divided
SSP4 - 4.5,2090,9401586000,Inequality - A Road Divided
SSP4 - 4.5,2100,9292446000,Inequality - A Road Divided
SSP4 - 6.0,2010,6895882000,Inequality - A Road Divided
SSP4 - 6.0,2020,7626353000,Inequality - A Road Divided
SSP4 - 6.0,2030,8258565000,Inequality - A Road Divided
SSP4 - 6.0,2040,8765680000,Inequality - A Road Divided
SSP4 - 6.0,2050,9146527000,Inequality - A Road Divided
SSP4 - 6.0,2060,9377450000,Inequality - A Road Divided
SSP4 - 6.0,2070,9472529000,Inequality - A Road Divided
SSP4 - 6.0,2080,9471440000,Inequality - A Road Divided
SSP4 - 6.0,2090,9401586000,Inequality - A Road Divided
SSP4 - 6.0,2100,9292446000,Inequality - A Road Divided
SSP4 - Baseline,2005,6506642000,Inequality - A Road Divided
SSP4 - Baseline,2010,6895882000,Inequality - A Road Divided
SSP4 - Baseline,2020,7626353000,Inequality - A Road Divided
SSP4 - Baseline,2030,8258565000,Inequality - A Road Divided
SSP4 - Baseline,2040,8765680000,Inequality - A Road Divided
SSP4 - Baseline,2050,9146527000,Inequality - A Road Divided
SSP4 - Baseline,2060,9377450000,Inequality - A Road Divided
SSP4 - Baseline,2070,9472529000,Inequality - A Road Divided
SSP4 - Baseline,2080,9471440000,Inequality - A Road Divided
SSP4 - Baseline,2090,9401586000,Inequality - A Road Divided
SSP4 - Baseline,2100,9292446000,Inequality - A Road Divided
SSP5 - 1.9,2005,6505000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,6894000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,7552000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,8054000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,8403000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,8579000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,8589000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,8457000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,8200000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,7831000000,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,7375000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,6505000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,6894000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,7552000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,8054000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,8403000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,8579000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,8589000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,8457000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,8200000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,7831000000,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,7375000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,6505000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,6894000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,7552000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,8054000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,8403000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,8579000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,8589000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,8457000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,8200000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,7831000000,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,7375000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,6505000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,6894000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,7552000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,8054000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,8403000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,8579000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,8589000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,8457000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,8200000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,7831000000,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,7375000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,6505000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,6894000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,7552000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,8054000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,8403000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,8579000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,8589000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,8457000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,8200000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,7831000000,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,7375000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,6505000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,6894000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,7552000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,8054000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,8403000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,8579000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,8589000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,8457000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,8200000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,7831000000,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,7375000000,Fossil-fueled Development - Taking the Highway
