Entity,Year,Carbon intensity of economy - Region: global,Carbon intensity of economy - Region: global (Annotations)
SSP3 - Baseline,2090,0.32433566,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,0.3153015,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,0.53446895,Inequality - A Road Divided
SSP4 - 2.6,2020,0.4011371,Inequality - A Road Divided
SSP4 - 2.6,2030,0.16834515,Inequality - A Road Divided
SSP4 - 2.6,2040,0.089492664,Inequality - A Road Divided
SSP4 - 2.6,2050,0.054248895,Inequality - A Road Divided
SSP4 - 2.6,2060,0.026504109,Inequality - A Road Divided
SSP4 - 2.6,2070,-0.00043715385,Inequality - A Road Divided
SSP4 - 2.6,2080,-0.03456679,Inequality - A Road Divided
SSP4 - 2.6,2090,-0.057817917,Inequality - A Road Divided
SSP4 - 2.6,2100,-0.078224674,Inequality - A Road Divided
SSP4 - 3.4,2010,0.53446895,Inequality - A Road Divided
SSP4 - 3.4,2020,0.40119988,Inequality - A Road Divided
SSP4 - 3.4,2030,0.24792987,Inequality - A Road Divided
SSP4 - 3.4,2040,0.1540336,Inequality - A Road Divided
SSP4 - 3.4,2050,0.09100179,Inequality - A Road Divided
SSP4 - 3.4,2060,0.058812425,Inequality - A Road Divided
SSP4 - 3.4,2070,0.036363937,Inequality - A Road Divided
SSP4 - 3.4,2080,0.009023128,Inequality - A Road Divided
SSP4 - 3.4,2090,-0.021589505,Inequality - A Road Divided
SSP4 - 3.4,2100,-0.045335107,Inequality - A Road Divided
SSP4 - 4.5,2010,0.53446895,Inequality - A Road Divided
SSP4 - 4.5,2020,0.40119985,Inequality - A Road Divided
SSP4 - 4.5,2030,0.2792916,Inequality - A Road Divided
SSP4 - 4.5,2040,0.20044541,Inequality - A Road Divided
SSP4 - 4.5,2050,0.13250914,Inequality - A Road Divided
SSP4 - 4.5,2060,0.0853665,Inequality - A Road Divided
SSP4 - 4.5,2070,0.05577007,Inequality - A Road Divided
SSP4 - 4.5,2080,0.035563637,Inequality - A Road Divided
SSP4 - 4.5,2090,0.029613025,Inequality - A Road Divided
SSP4 - 4.5,2100,0.021852331,Inequality - A Road Divided
SSP4 - 6.0,2010,0.53446895,Inequality - A Road Divided
SSP4 - 6.0,2020,0.40119985,Inequality - A Road Divided
SSP4 - 6.0,2030,0.32650927,Inequality - A Road Divided
SSP4 - 6.0,2040,0.26857677,Inequality - A Road Divided
SSP4 - 6.0,2050,0.22387771,Inequality - A Road Divided
SSP4 - 6.0,2060,0.18921928,Inequality - A Road Divided
SSP4 - 6.0,2070,0.15824291,Inequality - A Road Divided
SSP4 - 6.0,2080,0.11974063,Inequality - A Road Divided
SSP4 - 6.0,2090,0.086468846,Inequality - A Road Divided
SSP4 - 6.0,2100,0.058420412,Inequality - A Road Divided
SSP4 - Baseline,2005,0.5622465,Inequality - A Road Divided
SSP4 - Baseline,2010,0.5344692,Inequality - A Road Divided
SSP4 - Baseline,2020,0.41710037,Inequality - A Road Divided
SSP4 - Baseline,2030,0.34738508,Inequality - A Road Divided
SSP4 - Baseline,2040,0.29517436,Inequality - A Road Divided
SSP4 - Baseline,2050,0.25404352,Inequality - A Road Divided
SSP4 - Baseline,2060,0.22634362,Inequality - A Road Divided
SSP4 - Baseline,2070,0.19836946,Inequality - A Road Divided
SSP4 - Baseline,2080,0.16648148,Inequality - A Road Divided
SSP4 - Baseline,2090,0.14388697,Inequality - A Road Divided
SSP4 - Baseline,2100,0.12719627,Inequality - A Road Divided
SSP5 - 1.9,2005,0.622332,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,0.53825665,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,0.38959765,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,0.23200245,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,0.08978102,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,0.0037056739,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,-0.02914208,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,-0.029017856,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,-0.02611799,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,-0.023870574,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,-0.022195604,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,0.621449,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,0.53773874,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,0.38823605,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,0.26208043,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,0.14939088,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,0.07106164,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,0.016410695,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,-0.00691458,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,-0.01613774,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,-0.019786175,Fossil-fueled Development - Taking the Highway
